Critic_Score,Critic_Count,User_Score,User_Count,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
1.2062624228215546,0.0035824449958364512,0.9823156658485358,-0.20722735592800762,7,13,0,237,1189,4
1.3504839391090802,0.0035824449958364512,0.5656015893705392,-0.2770281935667275,15,12,10,61,345,1
0.4851548413839267,1.4081676611825693,-0.6845406400634515,-0.08635273465120002,14,20,2,155,863,6
0.12460105066511279,-0.10046090435132894,1.1906727040875347,-0.21744211265562516,7,11,0,246,385,6
0.5572655995276895,0.055604119669419146,0.3572445511315408,-0.26851589629371286,12,16,8,60,184,1
0.12460105066511279,0.6798642157524115,0.28779220505187425,-0.2565986801114924,8,17,0,41,1173,6
-0.308063498197464,-0.6726993257607385,0.4266968972112067,-0.28043311247593333,7,13,9,123,463,6
-0.0917312237661756,-0.4646126270664078,-0.26782656358545487,-0.2361691666562573,16,22,0,249,1101,2
-1.4618356284976686,0.10762579434300185,-0.05946952534645651,-0.24468146392927195,8,16,8,22,1035,4
0.3409333250964012,-1.0888727231494002,0.28779220505187425,-0.18169046410896375,5,9,11,244,1116,1
0.05249029252134999,-0.3085476030456597,0.843410973689204,-0.24808638283847778,12,15,0,246,888,4
-1.75027866107272,-0.7247210004343213,0.7045062815298709,-0.2634085179299041,7,13,3,11,39,2
-0.0917312237661756,2.0844494319391442,0.3572445511315408,-0.08465027519659711,0,23,11,160,559,6
-1.6781679029289571,-0.8807860244550694,0.00998282073321001,-0.28724295029434505,7,10,0,239,1208,6
-1.6781679029289571,-0.4646126270664078,-1.2401594087007806,-0.2855404908397421,15,12,3,82,1153,4
-1.6781679029289571,-1.0888727231494002,-1.1012547165414488,-0.2719208152029187,7,16,0,196,82,6
0.05249029252134999,1.0440159384674903,-0.12892187142612244,-0.2344667072016544,2,13,3,160,548,1
-0.23595274005370118,-0.4125909523928251,-0.26782656358545487,-0.24808638283847778,8,19,0,237,1181,4
-0.45228501448498953,0.21166914369016723,-0.4761836018244532,-0.20382243701880176,8,20,0,155,804,6
-0.7407280470600407,-0.5686559764135732,-0.8234453322227839,-0.198715058654993,14,20,7,51,840,4
1.7110377298278943,-0.3605692777192424,1.1906727040875347,1.0287582081137152,6,8,7,209,1054,6
0.05249029252134999,-1.0888727231494002,0.773958627609538,-0.2770281935667275,11,23,7,16,1168,6
0.5572655995276895,-0.10046090435132894,0.5656015893705392,-0.26000359902069825,7,11,11,11,653,6
-0.38017425634122676,0.3157124930373326,-0.05946952534645651,-0.26681343683910996,14,16,6,220,13,1
-0.0917312237661756,-0.3085476030456597,0.3572445511315408,-0.2617060584753012,2,16,7,213,1070,2
0.8457086321027407,1.7202977092240654,0.773958627609538,0.19285061590367947,8,21,7,161,1215,6
0.9178193902465035,-0.6206776510871559,-0.33727890966512075,-0.2855404908397421,4,12,10,61,328,1
-0.0917312237661756,1.3561459865089864,0.3572445511315408,-0.19531013974578715,14,14,0,47,980,6
0.4851548413839267,1.6162543598769,0.635053935450205,-0.22935932883784563,14,19,8,144,1177,6
0.9178193902465035,2.3965794799806406,-0.4761836018244532,-0.0693281401051708,14,17,6,61,1018,1
0.8457086321027407,0.5237991917316634,0.9823156658485358,-0.07273305901437664,7,12,6,61,328,1
1.2062624228215546,0.4717775170580807,0.773958627609538,-0.25149130174768364,15,13,10,61,345,1
-0.8128388052038035,1.2521026371618211,-0.33727890966512075,-0.24638392338387485,14,19,0,11,504,6
-0.6686172889162779,0.15964746901658453,-2.212492253816107,-0.28724295029434505,4,13,0,11,26,6
-1.1012818377788547,-0.8807860244550694,-1.0318023704617822,-0.27873065302133043,2,16,2,222,1105,6
0.7014871158152152,-0.15248257902491164,0.3572445511315408,-0.21744211265562516,10,17,7,92,443,6
1.062040906534029,1.096037613141073,1.0517680119282018,1.8987149894158093,9,24,10,4,872,1
0.7735978739589779,0.5758208664052461,0.07943516681287592,1.011733613567686,8,15,1,237,1189,4
0.05249029252134999,-1.0368510484758175,0.635053935450205,-0.265110977384507,14,19,0,238,801,6
-2.9040507913729243,-1.1929160724965655,-0.6150882939837856,-0.2906478692035509,6,9,0,26,1206,1
1.3504839391090802,2.760731202695719,1.2601250501672008,0.516317912278235,0,23,0,160,437,2
-0.5965065307725151,-0.25652592837207705,-0.26782656358545487,-0.2736232746575216,14,17,1,69,419,6
-0.45228501448498953,0.8359292397731596,-1.0318023704617822,-0.13061668047087605,9,23,0,51,1237,4
0.8457086321027407,-1.2449377471701482,0.9823156658485358,-0.22595440992863977,11,22,0,226,803,6
0.9899301483902663,0.8359292397731596,0.5656015893705392,-0.004634680830259689,5,19,10,196,1048,1
0.5572655995276895,-0.10046090435132894,0.7045062815298709,-0.13231913992547897,0,19,7,85,96,6
-0.8849495633475664,-0.6726993257607385,-0.26782656358545487,-0.2838380313851392,7,13,7,226,1124,2
0.12460105066511279,0.5237991917316634,0.7045062815298709,-0.2412765450200661,7,11,7,199,211,6
0.9178193902465035,0.0035824449958364512,0.635053935450205,-0.24638392338387485,5,16,9,196,1048,1
1.6389269716841315,0.8359292397731596,1.3295773962468667,-0.06762568065056787,4,11,2,155,734,6
0.6293763576714523,0.21166914369016723,0.843410973689204,-0.23276424774705148,7,11,0,11,593,4
1.1341516646777918,1.980406082591979,1.1212203580078688,0.1519915889932093,14,14,2,61,332,6
-1.3897248703539058,-0.9848293738022348,-1.3096117547804471,-0.2821355719305363,13,21,9,55,124,1
0.26882256695263834,-1.0368510484758175,-1.9346828694974423,0.10943010262813621,5,21,0,123,619,1
0.3409333250964012,-0.20450425369849434,0.9823156658485358,-0.1629634101083316,5,14,11,129,833,6
-0.45228501448498953,-0.10046090435132894,0.07943516681287592,-0.2719208152029187,8,17,0,226,801,6
0.12460105066511279,0.6798642157524115,0.635053935450205,-0.19360768029118422,12,15,1,160,71,1
-0.38017425634122676,-0.4646126270664078,-0.4761836018244532,-0.2617060584753012,2,16,9,61,476,1
-1.3897248703539058,-1.1408943978229829,0.635053935450205,-0.2497888422930807,7,12,7,155,603,6
-1.2455033540663802,1.2521026371618211,-0.12892187142612244,-0.25149130174768364,14,17,8,47,1222,6
